ID	ACC	BLCA	BRCA	CESC	CHOL	COAD	DLBC	ESCA	GBM	HNSC	KICH	KIRC	KIRP	LGG	LIHC	LUAD	LUSC	MESO	OV	PAAD	PCPG	PRAD	READ	SARC	SKCM	STAD	TGCT	THCA	THYM	UCEC	UCS	UVM
B_cells--Terrabacter	0	0.324382528	0.311638898	0.283609974	0	0.243734924	0	0.386519742	0	0.406280127	0	0.131542005	0.308126255	0	0	0.441586892	0.60795164	0	0	0.441393978	0	0	0	0	0	0.327654511	0	0.246070114	0	0	0	0
CD4_T_cells--Flammeovirga	0	0.387406136	0.289275056	0	0	0.346674383	0	0.46454172	0	0.374610986	0	0	0	0	0	0	0	0	0	0	0	0.275119642	0	0.288268607	0.506183171	0.41845759	0	0	0	0	0	0
CD4_T_cells--Lachnoclostridium	0	0.39992948	0.391648033	0.29141843	0	0	0	0.380582033	0	0.276822479	0	0	0	0	0.286890074	0.284471305	0.421005641	0	0.514184245	0	0	0.328169443	0	0.347627654	0.550502966	0	0.575310587	0.55865486	0	0	0	0.525219085
CD8_T_cells_PD1_high--Flammeovirga	0	0.41714861	0.279083191	0.378989655	0	0.357284016	0	0.405917471	0	0.411528807	0	0.247426372	0	0.191859486	0	0	0	0	0	0	0	0.289874013	0	0	0	0.366021278	0	0	0	0.360355942	0	0
CD8_T_cells_PD1_high--Lachnoclostridium	0	0.502531403	0.414195949	0.387095396	0	0	0	0.390059296	0	0.334388621	0	0.27601927	0	0.201445408	0.234143782	0.341338214	0.473378374	0.457133484	0.509099888	0	0	0.353551114	0	0.356063097	0.62068634	0.311500948	0.54852259	0.489712081	0	0	0	0.626850049
CD8_T_cells_PD1_low--Flammeovirga	0	0.412672465	0.264048363	0.377780436	0	0.356169347	0	0.389541214	0	0.403246258	0	0.226974582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.392211539	0	0
CD8_T_cells_PD1_low--Lachnoclostridium	0	0.491297968	0.398400964	0.375549509	0	0	0	0.339683889	0	0.316660846	0	0.296169915	0	0.197787905	0.246783026	0.321809393	0.405712335	0.447801998	0.518400732	0	0	0.354370735	0	0.367348087	0.65305257	0.253138924	0.556730132	0.478113404	0	0	0	0.591114898
CD8_T_cells--Flammeovirga	0	0.417541082	0.274068362	0.384521053	0	0.361731333	0	0.402817072	0	0.410708446	0	0.24421114	0	0	0	0	0	0	0	0	0	0.28607702	0	0	0	0.342519677	0	0	0	0.380576618	0	0
CD8_T_cells--Lachnoclostridium	0	0.497781151	0.409832591	0.38957278	0	0	0	0.374101957	0	0.32634097	0	0.286615414	0	0.202492671	0.240039918	0.335467078	0.448024765	0.452522417	0.516998286	0	0	0.355889433	0	0.359251543	0.640465703	0.287338363	0.5618905	0.484109019	0	0	0	0.60771665
Endothelium--Campylobacter	0	0	0.169257374	0.426448201	0	0.462268927	0	0	0	0.372469033	0	0	0	0	0.393379321	0.22315	0	0	0	0	0	0.263274855	0	0	0	0	0	0	0	0.456412133	0	0
