cell_type	cancer_type	taxa	rho	rho_p	tau	tau_p	rho_padj	tau_padj	r.sqr	r.sqr.adj	pval	padj	ci.lower	ci.upper	sigma	sigma.flag	stabsel_prob	stabsel_pass
B_cells	BLCA	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ethanoligenens	0.219382161	8.36E-06	0.147504872	8.82E-06	0.001507989	0.001611235	0.522922324	0.477914996	0.000422753	0.099417343	0.12762099	0.447178513	0.965577202	0	0.68	TRUE
B_cells	BLCA	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Aeromonadales.f__Succinivibrionaceae.g__Succinimonas	-0.16503709	0.000843352	-0.111654422	0.000768272	0.021014918	0.020947468	0.522922324	0.477914996	0.000154398	0.07261831	-0.284167625	-0.090235628	0.965577202	0	0.66	TRUE
B_cells	BLCA	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae.g__Terrabacter	0.324382528	2.60E-11	0.2245555	1.32E-11	1.71E-08	8.80E-09	0.522922324	0.477914996	3.87E-17	5.46E-14	0.59028964	0.948657445	0.965577202	0	1	TRUE
CD4_T_cells	BLCA	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	0.387406136	2.07E-16	0.274252309	1.42E-16	2.05E-13	1.74E-13	0.447366902	0.415705631	3.23E-10	2.28E-07	0.087235011	0.166257868	1.212210594	0	1	TRUE
CD4_T_cells	BLCA	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.39992948	0	0.267643819	7.37E-16	0	7.85E-13	0.447366902	0.415705631	1.40E-14	1.97E-11	0.232306787	0.391042077	1.212210594	0	1	TRUE
CD4_T_cells	BLCA	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae.g__Terrabacter	0.279303012	1.15E-08	0.192602365	6.51E-09	4.99E-06	2.99E-06	0.447366902	0.415705631	6.39E-08	3.00E-05	0.395700805	0.845605016	1.212210594	0	0.65	TRUE
CD8_T_cells	BLCA	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	0.417541082	0	0.292262258	1.30E-18	0	2.71E-15	0.624360515	0.578702677	1.42E-08	1.00E-05	0.048017586	0.098740224	0.778085239	0	1	TRUE
CD8_T_cells	BLCA	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.497781151	0	0.342201135	6.30E-25	0	5.08E-21	0.624360515	0.578702677	8.25E-28	1.16E-24	0.233162343	0.335050238	0.778085239	0	1	TRUE
CD8_T_cells_PD1_high	BLCA	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	0.41714861	0	0.292528534	1.21E-18	0	2.62E-15	0.80755337	0.761788623	3.48E-07	0.000245629	0.033919287	0.076326403	0.65052514	0	1	TRUE
CD8_T_cells_PD1_high	BLCA	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.502531403	0	0.346243691	1.76E-25	0	1.66E-21	0.80755337	0.761788623	1.70E-31	2.39E-28	0.211133557	0.296317845	0.65052514	0	1	TRUE
CD8_T_cells_PD1_low	BLCA	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	0.412672465	0	0.288558599	3.49E-18	0	6.78E-15	0.626100769	0.579492832	6.10E-09	4.30E-06	0.046497224	0.09378828	0.72544479	0	1	TRUE
CD8_T_cells_PD1_low	BLCA	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.491297968	0	0.336802992	3.38E-24	0	2.38E-20	0.626100769	0.579492832	5.01E-27	7.06E-24	0.213393265	0.308388053	0.72544479	0	1	TRUE
Endothelium	BLCA	k__Bacteria.p__Fibrobacteres.c__Chitinivibrionia.o__Chitinivibrionales.f__Chitinivibrionaceae.g__Chitinivibrio	0.248085161	4.37E-07	0.167451374	4.53E-07	0.000138275	0.000142819	0.33432001	0.286896897	2.22E-06	0.003137639	0.079441083	0.19178039	0.621826295	0	0.98	TRUE
Fibroblasts	BLCA	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Sutterella	0.604659334	0	0.436172402	1.88E-39	0	1.06E-34	0.486775935	0.460184014	2.31E-13	3.26E-10	0.16810148	0.290824608	0.907730786	0	1	TRUE
Fibroblasts	BLCA	k__Bacteria.p__Firmicutes.c__Tissierellia.o__Tissierellales.f__Peptoniphilaceae.g__Parvimonas	0.404994956	0	0.274615413	1.29E-16	0	1.62E-13	0.486775935	0.460184014	1.89E-08	1.33E-05	0.16829254	0.348442691	0.907730786	0	1	TRUE
Fibroblasts	BLCA	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Collimonas	0.58702032	0	0.411021411	3.17E-35	0	5.97E-31	0.486775935	0.460184014	1.91E-07	8.96E-05	0.119157873	0.262949868	0.907730786	0	0.99	TRUE
Lymphocytes	BLCA	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	0.422264814	0	0.299233851	1.95E-19	0	5.24E-16	0.604280229	0.563417862	1.83E-08	8.61E-06	0.051369153	0.106277045	0.842287049	0	1	TRUE
Lymphocytes	BLCA	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.477824147	0	0.324626911	1.36E-22	0	5.47E-19	0.604280229	0.563417862	7.64E-22	1.08E-18	0.21509821	0.325393136	0.842287049	0	1	TRUE
Lymphocytes	BLCA	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Acetobacteraceae.g__Saccharibacter	-0.225130949	4.77E-06	-0.151983152	4.67E-06	0.00099659	0.000972303	0.604280229	0.563417862	0.000435094	0.087702498	-0.32250265	-0.091718585	0.842287049	0	0.84	TRUE
Lymphocytes	BLCA	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae.g__Terrabacter	0.285236733	5.46E-09	0.196523886	3.20E-09	2.55E-06	1.62E-06	0.604280229	0.563417862	1.23E-13	8.69E-11	0.434904039	0.747513493	0.842287049	0	0.92	TRUE
Lymphocytes	BLCA	k__Bacteria.p__Acidobacteria.c__Holophagae.o__Holophagales.f__Holophagaceae.g__Holophaga	-0.161301215	0.00110699	-0.10671621	0.001303615	0.024113676	0.027099828	0.604280229	0.563417862	8.00E-06	0.002338965	-0.254244711	-0.099133127	0.842287049	0	0.78	TRUE
Macrophages	BLCA	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	0.420198148	0	0.295433364	5.51E-19	0	1.24E-15	0.68546124	0.639257806	1.20E-08	8.47E-06	0.037669909	0.077154619	0.60569543	0	1	TRUE
Macrophages	BLCA	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.448618141	0	0.308480895	1.48E-20	0	4.38E-17	0.68546124	0.639257806	8.34E-14	1.18E-10	0.111383353	0.190697327	0.60569543	0	1	TRUE
