CABL	ABL
ACC1	ACACA
ACC_pS79	ACACA	 ACACB
ACVRL1	ACVRL1
ADAR1	ADAR
AKT	AKT1	2	3
AKT_pS473	AKT1	2	3
AKT_pT308	AKT1	2	3
PRAS40_pT246	AKT1S1
ANNEXIN1	ANXA1
ANNEXINVII	ANXA7
AR	AR
ARAF	ARAF
ARAF_pS299	ARAF
ARID1A	ARID1A
ASNS	ASNS
ATM	ATM
AXL	AXL
BAD_pS112	BAD
BAK	BAK1
BAP1C4	BAP1
BAX	BAX
BCL2	BCL2
BCL2A1	BCL2A1
BCLXL	BCL2L1
BIM	BCL2L11
CIAP	BIRC2
BRAF	BRAF
BRAF_pS445	BRAF
BRCA2	BRCA2
BRD4	BRD4
TIGAR	C12ORF5
CASPASE3	CASP3
CASPASE7CLEAVEDD198	CASP7
CASPASE8	CASP8
CAVEOLIN1	CAV1
CYCLINB1	CCNB1
CYCLIND1	CCND1
CYCLINE1	CCNE1
CYCLINE2	CCNE2
CD26	CD26
PDL1	CD274
ECADHERIN	CDH1
NCADHERIN	CDH2
PCADHERIN	CDH3
CDK1	CDK1
CDK1_pY15	CDK1
P21	CDKN1A
P27	CDKN1B
P27_pT198	CDKN1B
P16INK4A	CDKN2A
CHK1	CHEK1
CHK1_pS296	CHEK1
CHK1_pS345	CHEK1
CHK2	CHEK2
CHK2_pT68	CHEK2
CLAUDIN7	CLDN7
COG3	COG3
COLLAGENVI	COL6A1
JAB1	COPS5
ALPHACATENIN	CTNNA1
BETACATENIN	CTNNB1
SMAC	DIABLO
DIRAS3	DIRAS3
DUSP4	DUSP4
DVL3	DVL3
EEF2	EEF2
EEF2K	EEF2K
EGFR	EGFR
EGFR_pY1068	EGFR
EGFR_pY1173	EGFR
EIF4E	EIF4E
X4EBP1	EIF4EBP1
X4EBP1_pS65	EIF4EBP1
X4EBP1_pT37T46	EIF4EBP1
X4EBP1_pT70	EIF4EBP1
EIF4G	EIF4G1
ENY2	ENY2
EPPK1	EPPK1
HER2	ERBB2
HER2_pY1248	ERBB2
HER3	ERBB3
HER3_pY1289	ERBB3
ERCC1	ERCC1
ERCC5	ERCC5
MIG6	ERRFI1
ERALPHA	ESR1
ERALPHA_pS118	ESR1
ETS1	ETS1
FASN	FASN
FIBRONECTIN	FN1
FOXM1	FOXM1
FOXO3A	FOXO3
FOXO3A_pS318S321	FOXO3
G6PD	G6PD
GAB2	GAB2
GAPDH	GAPDH
GATA3	GATA3
GATA6	GATA6
GSK3_pS9	GSK3A	GSK3B
GSK3ALPHABETA	GSK3A	GSK3B
GSK3ALPHABETA_pS21S9	GSK3A	GSK3B
GYGGLYCOGENIN1	GYG1
HSP70	HSP70
IGF1R_pY1135Y1136	IGF1R
IGFBP2	IGFBP2
INPP4B	INPP4B
IRF1	IRF1
IRS1	IRS1
CD49B	ITGA2
JAK2	JAK2
CJUN_pS73	JUN
GCN5L2	KAT2A
VEGFR2	KDR
KEAP1	KEAP1
CKIT	KIT
CK5	KRT5
LCK	LCK
LCN2A	LCN2
LDHA	LDHA
LDHB	LDHB
MEK1	MAP2K1
MEK1_pS217S221	MAP2K1	 MAP2K2
ERK2	MAPK1
MAPK_pT202Y204	MAPK1	 MAPK3
P38_pT180Y182	MAPK14
P38MAPK	MAPK14
JNK_pT183Y185	MAPK8
JNK2	MAPK9
CMET	MET
MRE11	MRE11A
CD20	MS4A1
MSH2	MSH2
MSH6	MSH6
MITOCHONDRIA	MTCO2
MTOR	MTOR
MTOR_pS2448	MTOR
MYH11	MYH11
MYOSINIIA	MYH9
MYOSINIIA_pS1943	MYH9
NDRG1_pT346	NDRG1
NF2	NF2
TTF1	NKX2-1
NOTCH1	NOTCH1
NRAS	NRAS
HEREGULIN	NRG1
DJ1	PARK7
PARP1	PARP1
PARPCLEAVED	PARP1
PCNA	PCNA
PDCD1	PDCD1
PDCD4	PDCD4
PDK1	PDPK1
PDK1_pS241	PDPK1
PEA15	PEA15
PEA15_pS116	PEA15
CD31	PECAM1
PR	PGR
PI3KP110ALPHA	PIK3CA
PI3KP85	PIK3R1
PKM2	PKM2
PRDX1	PRDX1
PREX1	PREX1
AMPKALPHA	PRKAA1
AMPKALPHA_pT172	PRKAA1
PKCALPHA	PRKCA
PKCALPHA_pS657	PRKCA
PKCPANBETAII_pS660	PRKCB
PKCDELTA_pS664	PRKCD
PTEN	PTEN
SHP2_pY542	PTPN11
PAXILLIN	PXN
PYGL	PYGL
RAB11	RAB11A	B
RAB25	RAB25
RAD50	RAD50
RAD51	RAD51
CRAF	RAF1
CRAF_pS338	RAF1
RB	RB1
RB_pS807S811	RB1
RBM15	RBM15
NFKBP65_pS536	RELA
RET_pY905	RET
RICTOR	RICTOR
RICTOR_pT1135	RICTOR
S6	RPS6
S6_pS235S236	RPS6
S6_pS240S244	RPS6
P90RSK	RPS6KA1
P90RSK_pT359S363	RPS6KA1
P70S6K_pT389	RPS6KB1
P70S6K1	RPS6KB1
RAPTOR	RPTOR
SCD1	SCD
COMPLEXIISUBUNIT30	SDHB
PAI1	SERPINE1
SETD2	SETD2
SHC_pY317	SHC1
SLC1A5	SLC1A5
SMAD1	SMAD1
SMAD3	SMAD3
SMAD4	SMAD4
SNAIL	SNAI1
P62LCKLIGAND	SQSTM1
SRC	SRC
SRC_pY416	SRC	 LYN	 FYN LCK	 YES1	 HCK
SRC_pY527	SRC	 YES1	 FYN FGR
SF2	SRSF1
STAT3_pY705	STAT3
STAT5ALPHA	STAT5A
LKB1	STK11
STATHMIN	STMN1
SYK	SYK
TAZ	TAZ
TFRC	TFRC
TRANSGLUTAMINASE	TGM2
P53	TP53
X53BP1	TP53BP1
P63	TP63
TSC1	TSC1
TUBERIN	TSC2
TUBERIN_pT1462	TSC2
ACETYLATUBULINLYS40	TUBA1B
XBP1	XBP1
XRCC1	XRCC1
KU80	XRCC5
YAP	YAP1
YAP_pS127	YAP1
YB1	YBX1
YB1_pS102	YBX1
X1433BETA	YWHAB
X1433EPSILON	YWHAE
X1433ZETA	YWHAZ
